HIMNO,NOMBRE,RITMO,LINK,LYRICS
458,Todos somos miembros de un solo cuerpo,UN SOLO CUERPO,,
459,"Señor, tú me has puesto en una familia muy especial",,,
460,"Amémonos, hermanos",MUNICH,,
461,Somos uno en Cristo,SOMOS UNO,,
462,Porque de la manera,,,
463,"Miren qué bueno, que bueno es",FLORES,,
464,Nuevas alegres para decirles,NUEVAS ALEGRES,,
465,No te dé temor hablar por Cristo,NEVER BE AFRAID,,
466,Si sientes compasión por tus amigos,TESTIFICA,,
467,"Recibiréis poder, recibiréis poder",GRAN COMISION,,
468,Grato es decir la historia,HANKEY,,
469,En el nombre del Señor Jesús,"FREELY, FREELY",,
470,"Vamos, todos con gran decisión",VAMOS,,
471,Los que con lágrimas sembraron,LOS QUE CON LÁGRIMAS,,
472,Anhelo trabajar por el Señor,I WANT TO BE A WORKER,,
473,El mundo hoy se encuentra en agonía,EL CONDOR PASA,,
474,Ved los millones que entre las tinieblas viven,"FAR, FAR AWAY",,
475,Hasta lo último,BLUE,,
476,"Por tanto, id, y haced discípulos a todas las naciones",,,
477,Mensajeros del Maestro,BEECHER,,
478,La paz os dejo,ISRAELI,,
479,"Heme aquí, yo iré",WITT,,
480,"¡A prisa, Iglesia! tu Señor espera",TIDINGS,,
481,Y ¿cómo podrán invocar,GULARTE,,
482,¡Oh qué amigo nos es Cristo!,CONVERSE,,
483,Deléitate asimismo en el Señor,DELEITATE,,
484,"De día, mandará el Señor su misericordia",,,
485,A solas al huerto yo voy,GARDEN,,
486,"Oh Señor, de mañana oirás mi voz",OIRAS MI VOZ,,
487,"Cristo, queremos dar gracias",THANK YOU,,
488,"Gracias, oh Señor, por escucharnos hoy",HEAR OUR PRAYER,,
489,Abre mis ojos,OPEN OUR EYES,,
490,Cuandro estés cansado y abatido,DAYTON,,
491,Padre nuestro celestial,TAJUMULCO,,
492,"Gracias damos, Señor, por el pan",GRACIAS DAMOS,,
493,"Dulce oración, dulce oración",SWEET HOUR,,
494,Estamos aquí,FAMILY SONG,,
495,"Por estos alimentos, Dios",BEDANKT,,
496,"¿Has oído, Señor, mis oraciones?",MIS ORACIONES,,
497,"Avívanos, Señor",WOODSTOCK (Coro),,
498,Yo te sirvo porque te amo,SERVING,,
499,Recorría Jesús todas las ciudades y aldeas,,,
500,A servir a Cristo sin temor iré,ANYWHERE,,
401,"Mi pensamiento eres tú, Señor",PENSAMIENTO,,
402,Yo soy la vid y mi Padre el Labrador,LA VID Y LOS PAMPANOS,,
403,"Oh Dios, revélame tu voluntad",BETHANY,,
404,"Oh, deja que el Señor te envuelva",SPIRIT SONG,,
405,¡Cuán dulce el nombre de Jesús,EVAN,,
406,Si dejas tú que Dios te guíe,NEUMARK,,
407,"Me guía él, con cuánto amor",HE LEADETH ME,,
408,Cristo es Guía de mi vida,ALL THE WAY,,
409,Un día el mundo dejaré,JESUS LED ME,,
410,Que mi vida entera esté,ENTIRE CONSECRATION,,
411,"Cautívame, Señor",ORBE,,
412,¡Oh! yo quiero andar con Cristo,LAFAYETTE,,
413,He decidido seguir a Cristo,ASSAM,,
414,"Oh Cristo mío, yo anhelo agradarte",ANHELO AGRADARTE,,
415,Busca primero el reino de Dios,LAFFERTY,,
416,"Cristo, fiel te quiero ser",FAITHFUL,,
417,Sed puros y santos,SLANE,,
418,"Señor, tú me llamas por mi nombre desde lejos",PUEYRREDON,,
419,"Yo quiero ser, Señor amado",VASO NUEVO,,
420,"Te vengo a decir, te vengo a decir, oh mi Salvador",ISAIS,,
421,"Con mis labios y mi vida te alabo, Señor",CON MIS LABIOS,,
422,Que el sentir de Jesucristo,TRANQUILITY,,
423,Hazme un instrumento de tu paz,XELAJÚ-PATZÚN,,
424,"Dejo el mundo, y sigo a Cristo",GIVE ME JESUS,,
425,Bendito el Señor por su poder,BENDITO EL SEÑOR,,
426,Tú has venido a la orilla,PESCADOR DE HOMBRES,,
427,En tus afanes y en tu dolor,GOD CARES,,
428,Muchas veces he pensado,THROUGH IT ALL,,
429,Yo no quiero pecar,NO QUIERO PECAR,,
430,"Cuando tentado, yo he deseado",FARTHER ALONG,,
431,"Tentado, no cedas, ceder es pecar",YIELD NOT,,
432,"Cristo guarda siempre, puedo en él confiar",I SHALL NOT BE MOVED,,
433,Después de la tormenta viena la calma,PUERTO RICO,,
434,Oí bendita historia,HARTFORD,,
435,Débil soy; tu fuerza es tal,CLOSER WALK,,
436,Cuando combatido por la adversidad,BLESSINGS,,
437,"Yo quiero vencer, yo quiero triunfar por fe en mi Cristo",YO QUIERO VENCER,,
438,Su gracia es mayor si las cargas aumentan,HE GIVETH MORE GRACE,,
439,"Señor, en este mundo de misterio",,,
440,Pon tus ojos en Cristo,LEMMEL (Coro),,
441,Jehová-jireh es mi Proveedor,JEHOVA-JIREH,,
442,Mas él conoce mi camino,[Mas él conoce mi camino],,
443,El Señor es bueno,JOB/NAHUM,,
444,Mi corazón cantando está de Cristo,UNTIL THEN,,
445,Pues tengo por cierto,,,
446,¡Regocijad en el Señor!,REJOICE,,
447,"Dad gracias, de todo corazón",GIVE THANKS,,
448,¿Quiénes son los que han venido?,A GLORIOUS CHURCH,,
449,Una iglesia prefiere mi alma,LITTLE BROWN CHURCH,,
450,De la Iglesia el fundamento,AUSTRIA,,
451,"Iglesia de Cristo, reanima tu amor",LYONS,,
452,Vosotros sois el cuerpo de Cristo,,,
453,En la Iglesia la gloria es para él,EN LA IGLESIA,,
454,¡Ardan nuestros corazones adorando al Salvador,,,
455,"Dios de gracia, Dios de gloria",CWM RHONDDA,,
456,"Hoy, por los santos que descansan ya",SINE NOMINE,,
457,Soy feliz porque soy de la familia de Dios,FAMILY OF GOD,,
458,Todos somos miembros de un solo cuerpo,UN SOLO CUERPO,,
459,"Señor, tú me has puesto en una familia muy especial",,,
460,"Amémonos, hermanos",MUNICH,,
461,Somos uno en Cristo,SOMOS UNO,,
462,Porque de la manera,,,
463,"Miren qué bueno, que bueno es",FLORES,,
464,Nuevas alegres para decirles,NUEVAS ALEGRES,,
465,No te dé temor hablar por Cristo,NEVER BE AFRAID,,
466,Si sientes compasión por tus amigos,TESTIFICA,,
467,"Recibiréis poder, recibiréis poder",GRAN COMISION,,
468,Grato es decir la historia,HANKEY,,
469,En el nombre del Señor Jesús,"FREELY, FREELY",,
470,"Vamos, todos con gran decisión",VAMOS,,
471,Los que con lágrimas sembraron,LOS QUE CON LÁGRIMAS,,
472,Anhelo trabajar por el Señor,I WANT TO BE A WORKER,,
473,El mundo hoy se encuentra en agonía,EL CONDOR PASA,,
474,Ved los millones que entre las tinieblas viven,"FAR, FAR AWAY",,
475,Hasta lo último,BLUE,,
476,"Por tanto, id, y haced discípulos a todas las naciones",,,
477,Mensajeros del Maestro,BEECHER,,
478,La paz os dejo,ISRAELI,,
479,"Heme aquí, yo iré",WITT,,
480,"¡A prisa, Iglesia! tu Señor espera",TIDINGS,,
481,Y ¿cómo podrán invocar,GULARTE,,
482,¡Oh qué amigo nos es Cristo!,CONVERSE,,
483,Deléitate asimismo en el Señor,DELEITATE,,
484,"De día, mandará el Señor su misericordia",,,
485,A solas al huerto yo voy,GARDEN,,
486,"Oh Señor, de mañana oirás mi voz",OIRAS MI VOZ,,
487,"Cristo, queremos dar gracias",THANK YOU,,
488,"Gracias, oh Señor, por escucharnos hoy",HEAR OUR PRAYER,,
489,Abre mis ojos,OPEN OUR EYES,,
490,Cuandro estés cansado y abatido,DAYTON,,
491,Padre nuestro celestial,TAJUMULCO,,
492,"Gracias damos, Señor, por el pan",GRACIAS DAMOS,,
493,"Dulce oración, dulce oración",SWEET HOUR,,
494,Estamos aquí,FAMILY SONG,,
495,"Por estos alimentos, Dios",BEDANKT,,
496,"¿Has oído, Señor, mis oraciones?",MIS ORACIONES,,
497,"Avívanos, Señor",WOODSTOCK (Coro),,
498,Yo te sirvo porque te amo,SERVING,,
499,Recorría Jesús todas las ciudades y aldeas,,,
500,A servir a Cristo sin temor iré,ANYWHERE,,
501,Solamente temed a Jehová,CHIMALTENANAGO,,
502,"Sed fieles, hermanos",SINFONIA-BRAHMS,,
503,"¡Despertad, despertad, oh cristianos!",PUEBLA,,
504,"Oh, háblame y hablaré",CANONBURY,,
505,Demos con alegría,TODO LO QUE RESPIRA,,
506,¿Qué podemos ofrendar?,,,
507,"Oh, cumple tu ministerio en la obra del Señor",CUMPLE TU MINISTERIO,,
508,Todos recibieron sus talentos del Señor,LOS TALENTOS,,
509,Ofrenda al Señor porque él es bueno,OFRENDA,,
510,"Vengo rendido a tus pies, Señor",LA PRADA,,
511,Gozo da servir a Cristo,JOY IN SERVING JESUS,,
512,En las aguas de la muerte,BEAUTIFUL RIVER,,
513,Los que somos bautizados,NETTLETON,,
514,Yo vivía en el pecado,ALL THE WAY,,
515,Con Cristo estoy juntamente crucificado,,,
516,La cruz excelsa al contemplar,HAMBURG,,
517,Obediente a tu mandato,CONVERSE,,
518,Rey de mi vida tú eres ya,DUNCANNON,,
519,Aquí del pan partido tomaré,EVENTIDE,,
520,"Hoy venimos, cual hermanos",DORRANCE,,
521,"Llegamos a tu mesa, oh Señor",LLEGAMOS A TU MESA,,
522,Es la cena del Señor,MADRID,,
523,La copa de bendición que bendecimos,,,
524,Hay un precioso manantial,CLEANSING FOUNTAIN,,
525,Cristo extiende su mano,VENGAN A LA MESA,,
526,Cristo su preciosa sangre,MESQUITE,,
527,Recordad al Señor,LIFT HIM UP,,
528,"Siervos de Jesús, hombres de verdad",BATTLE CRY,,
529,"A ti, oh Señor, levantaré mi alma",SALMO 25,,
530,Soldados del Señor Jesús,SANKEY,,
531,"Por lo demás, fortaleceos en el Señor",,,
532,¡A combatir! resuena la guerrera voz,THE FIGHT IS ON,,
533,¡Estad por Cristo firmes,WEBB,,
534,Cual pendón hermoso,ROYAL BANNER,,
535,Es el Dios de los ejércitos en quien yo confiaré,BATTLE HYMN,,
536a,"¡Sin Ti, Jesús, nacemos solamente para morir",,,
536b,Tras la noche tenebrosa,,,
537,"Tampoco queremos, hermanos",,,
538,Soy yo soldado de Jesús,WEAR A CROWN,,
539,"Firmes y adelante, huestes de la fe",ST. GERTRUDE,,
540,Sale a la lucha el Salvador,,,
541,A la victoria Jesús nos llama,A LA VICTORIA,,
542,"Cristo, nuestro Jefe",CHRIST IS OUR CAPTAIN,,
543,"Ya Cristo viene, lo prometió",YA CRISTO VIENE,,
544,La venida de Cristo se acerca,LA VENIDA DE CRISTO,,
545,Notas alegres cantad,COMING AGAIN,,
546,Un día Cristo volverá,ALOHA OE,,
547,Nadie sabe la hora,VALSEQUILLO,,
548,"¡Oh, el Rey ya viene, el Rey ya viene!",KING IS COMING (coro),,
549,Cuán gloriosa será la mañana,MAÑANA GLORIOSA,,
550,Con las nubes viene Cristo,REGENT SQUARE,,
551,Cuando anuncie el arcángel,ROLL CALL,,
552,Si el poder del Espíritu,PODER,,
553,Muy cercano está el día,CENTRAL FOUNTAIN,,
554,Es mi Salvador eterno,DIAPASON,,
555,Los cielos se abren con gloria indecible,WE SHALL BEHOLD HIM,,
556,En presencia estar de Cristo,FACE TO FACE,,
557,Yo sólo espero ese día,YO SOLO ESPERO ESE DIA,,
558,Pudiera bien ser cuando el día amanezca,CHRIST RETURNETH,,
559,Cuando al fin se termine aquí mi vida terrenal,I SHALL KNOW HIM,,
560,Roca de la eternidad,TOPLADY,,
561,"Es Señor de los cielos, la tierra y el mar",WE BOW DOWN,,
562,"No me mueve, mi Dios, para quererte",,,
563,Hay un río que fluye sin cesar,WAIWAI,,
564,Aunque en esta vida no tengo riquezas,MAS ALLA DEL SOL,,
565,Mansión gloriosa tengo yo en el cielo,MANSION,,
566,No se turbe vuestro corazón,SIGUATEPEQUE,,
567,En la mansión do Cristo está,HIGHER GROUND,,
568,Cuando mis luchas terminen aquí,GLORY SONG,,
569,Sabemos que si nuestra casa terrenal,,,
570,Alabanzas dad a Cristo,HEAVEN,,
571,"¡Oh, Cristo, Rey de reyes!",,,
572,"Cristo me ama, me ama a mí",CHINA,,
573,"Jesús me ama, vino a salvarme",GOTT IST DIE LIEBE,,
574,"Cristo me ama, esto sé",DER HAHN,,
575,Gozo me da la Palabra leer,GLADNESS,,
576,"""¡Dejad a los niños que vengan!""",DEJAD A LOS NIÑOS,,
577,Fue al pie de unas palmeras,,,
578,Acuérdate de tu Creador,ACUERDATE,,
579,Corazones siempre alegres,RIVEROS,,
580,Quince años Dios te concede,QUINCEAÑERA,,
581,Lo que soy y lo que puedo,,,
582,"Proclamad, juventud redimida",ADELANTE JUVENTUD,,
583,"Dios, Dios mío eres tú",SALMO 63,,
584,Acuérdate de tu Creador en los días de tu juventud,,,
585,"El Rey persa, buscando otra reina",ESTER,,
586,Pero habla tú lo que está de acuerdo,,,
587,¿Quién está en las huestes del buen Salvador,RACHIE,,
588,Mas Jehová estaba con José,JOSÉ,,
589,Dicha grande es la del hombre,BEECHER,,
590,Las mujeres cristianas trabajan,WHAT MUST IT BE,,
591,Nació entre ídolos Rut en Moab,RUT,,
592,"Perfecto amor, que al hombre es transcendente",O PERFECT LOVE,,
593,Dios bendiga las almas unidas,PUEBLA,,
594,"Padre eterno, hoy humildemente",GONZÁLEZ,,
595,"Esposas, estad sujetas a vuestros esposos",,,
596,Dios ordenó la familia,SETECA,,
597,Gran felicidad se goza en el hogar,ARGENTINA,,
598,Cuando las bases de este mundo tiemblan,TIDINGS,,
599,Danos un bello hogar,CHRISTIAN HOME,,
600,"Dios, el Creador y Dueño",AUSTRIA,,
601,Hay un lugar que Dios me dio,FAMILIA FELIZ,,
602,Dar quiso Dios al hombre compañía,,,
603,"Ante tu presencia, Dios",MADRID,,
604,Ante nuestro Padre Dios,,,
605,Hoy reconocemos con amor y alegría,IRENE,,
606,Tú honraste a las madres,HYMN TO JOY,,
607,A mi madre tan querida,HAINSWORTH,,
608,Un año más nos da el Salvador,WILLIAMSPORT,,
609,Dad a Dios inmortal alabanza,,,
610,Principia un año nuevo,AURELIA,,
611,Con alegres corazones,REJOICE AND SING,,
612,"Feliz, feliz cumpleaños",A HAPPY BIRTHDAY,,
613,Nuestra patria será para Cristo,NUESTRA PATRIA,,
614,América será para Cristo,AMERICA SERA PARA CRISTO,,
615,"Te damos gracias, Dios, por nuestra amada patria",,,
616,"A Dios, naciones, dad loor",TALLIS' CANON,,
617,"Supremo Dios, te ruego por mi patria",FLEMMING,,
618,"Exhorto, pues, ante todo que se hagan rogativas",,,
619,"Alabad a Jehová, naciones todas",SALMO 117,,
620,Dios os guarde siempre en santo amor,GOD BE WITH YOU,,
621,"Gracias, Dios, por los pastores","TRAMP, TRAMP, TRAMP",,
622,Hoy damos gracias al Señor por ti,,,
623,Este templo dedicamos a tu gloria,GIVE ME JESUS,,
624,A Dios el Padre celestial,OLD 100,,
625,Celebremos el amor de Dios,PLANO,,
626,Gloria demos al Padre,MEINEKE,,
627,"Alabad a Jehová, porque él es bueno",,,
628,Porque para siempre su misericordia,SALMO 136,,
629,"Eterno Rey, celebraremos tu gloria",CORO DE LOS PEREGRINOS,,
630,"Tu pueblo calla ante ti, Señor",QUAM DILECTA,,
631,Te alabamos ¡oh Señor!,,,
632,Engrandecido sea Dios,DIADEM,,
633,"Ven, te invito a cantar al Señor",VEN TE INVITO,,
634,"Cantad alegres, cantad a Dios",SALMO 100,,
635,Con gran gozo y placer,OVER JORDAN,,
636,¡Hola! ¿Cómo estás?,CARPINTEYRO,,
637,En la escuela dominical,KUM BAI YA,,
638,Engrandecido seas,HIDALGO,,
639,Tu pueblo jubiloso,AURELIA,,
640,Oh Padre en los cielos,WEST INDIES,,
641,Padre nuestro que estás en los cielos,,,
642,Del Señor es la tierra y todo lo que hay en ella,,,
643,Creo en Dios Padre Todopoderoso,,,
644,En Señor te bendiga y te guarde,,,
645,Sagrado es el amor,DENNIS,,
646,"Después, Señor, de haber tenido aquí",ELLERS,,
647,El Señor te bendiga te guarde,LUTKIN,,
648,Amén,SEVENFOLD-LUTKIN,,
649,Amén,DANES,,
650,Amén,DRESDEN,,
651,Amén,AFRO-AMERICAN,,
652,Al que está sentado,AL QUE ESTA SENTADO,,
